,articleId,title,subtitle,productType
0,-3393892867263864215,Gone Is Gone - Echolocation,Gone Is Gone - Echolocation,cd
1,-2831118468819601923,Ekseption-The Lost Last Concert Tapes...,The Lost Last Concert Tapes (Box-Set),cd
2,6835807414137785977,PORTISHEAD CD-Sammlung 3 CDs #16,Kollektion für Fans der Trip-Hop-Pioniere aus Bristol,cd
3,-4912458353746230865,Primeon CD-R Rohlinge (bunt),39 Stück auf der Spindel,cd
4,1496864991301777371,Adonia - Zmittst im Füür,Markus Hottiger / Markus Heusser,cd
5,-2000461896497547042,Oomph! - Wahrheit Oder Pflicht,2004  GUN Records / Supersonic Records,cd
6,6940989705031868528,CD J.S.Bach/Händel/Mozart-Ave Maria   /6,Klassik CDs für Fr -.90 / CDs musique classique pour Fr -.90,cd
7,3868077324736890305,Schwyzerörgeliquart. Ländlerbuebe Biel -,S' Fägt!,cd
8,-7946387064766095421,- Edition Seeigel - Gackitas Ei,- Edition Seeigel - Gackitas Ei,cd
9,-7650774625292850275,Justin Timberlake man of the woods CD,Justin Timberlake man of the woods CD,cd
10,1043051187031185952,DJ. MOZART.  DIGITAL AUFNAHME  B9,PIANO CONCERTO  I D MINOR,cd
11,1515216031266127740,Die Toten Hosen-Ballast der Republik ...,"Ballast der Republik inkl. Jubilaeumsalbum: Die Geister, ...",cd
12,1683620265432211155,Sabaton - Primo Victoria (Musik-CD),Sabaton - Primo Victoria,cd
13,-3823338258353969743,Celine Dion,französisch,cd
14,-1495796831074487125,Pettersson Und Findus-Das Original ...,Pettersson Und Findus-Das Original Hoerspiel z.Kino,cd
15,6107276069702742089,10 CD - Schlager Gold,Oldies,cd
16,-5431533029343689526,Blocparty: ADay At The Weekend,Limited Edition CD und DVD,cd
17,1839693556202426763,"Cesars Kampf in Gallien, Nr. 10, 1977",Die Kelten in Gallien Vercingetorix / Das römische Gallien,cd
18,5257845897730841624,Joe Cocker - Heart & Soul,"12 tolle songs von Joe (incl. ""I put a spell on you"")",cd
19,-2306419195165750617,Disney Jake und die Nimmerland Pirate...,Disney Jake und die Nimmerland Piraten 6 (Hoerbuecher CD),cd
20,1000460455493334933,Addys Mercedes-Extrana (Musik-CD),Extrana,cd
21,3031411766412874591,Sebastian Krämer - Deutschlehrer,Sebastian Kraemer - Deutschlehrer,cd
22,59539333001649296,Mega Hits 2002 Die Zweite  (2 CD),Compilation,cd
23,-13152297271574766,MacMillan Series Vol.2,MacMillan Series Vol.2,cd
24,860220707138410594,100 Tears A Tribute to THE CURE Gothic,1997 GOTHIC METAL CD / EBM,cd
25,-7577189921691415268,Various – That's Philly Sound,"CD gebraucht, sichtbare Kratzer möglich",cd
26,-3373310268073141375,The London Symphony Orchestra CD,Classic Rocks CD 1988,cd
27,1151420297410631480,Kenny Burell & John Coltrane • CD Jazz,"1958 Prestige 20bit Remastered RVG feat. Flanagan, Chambers",cd
28,871548126327187036,Van Halen: Cant Stop Loving You CD Singl,(1995) in Tinbox!!!,cd
29,6877628157780152884,CD „JUSTiNE TiMBERLAKE“,“Justified” (2002),cd
30,7151776249884851696,JFF - Stop the Violence - CD,Ultra Rar - Independent - Self Release - Private Swiss Metal,cd
31,-1957783386008601729,SEAL SYSTEM,CD/ mit Gratis Versand  !,cd
32,-2847664342593084041,Dance Hall,No 1,cd
33,4827965048347933015,Duncan Sheik: White Limousine (2006),Coole Singer Songwriter Scheibe,cd
34,7221326201869683292,Verschiedene Bravo Hits / 1 Kuschel Rock,25 CDs,cd
35,-2982579699114792365,DJ Mind-X Wild Thing,Top Angebot zum Schnäpplipreis Lagerbox 24,cd
36,5262942875030963297,Head Kandi IBIZA 10 YEARS 3 CD NEU,Head Kandi IBIZA 10 YEARS 3 CD NEU,cd
37,-3159021186684757845,"10 CD 2 x Kate Bush, 3 x Amy MacDonald,","3x Alison Moyet, 2 x Joni Mitchell",cd
38,8596376241131724969,Alanis Morissette – Ironic (Maxi-CD),4 Tracks,cd
39,-3566046507122077002,Analium,von Liricas Analas,cd
40,644093918460180188,Iron Maiden – The Book Of Souls  NEUF,"2 × CD, Album, Deluxe Edition, Digibook with Slipcase",cd
41,2317134211872726629,Jennifer Lopez – Como Ama Una Mujer,2007,cd
42,4149407426669587470,Kalmah - Palo,(2018),cd
43,3904172559926170649,Prozessor inkl Kühlkörper Intel core 2,Prozessor PC Computer Core duo,pc
44,-8983002090753182225,HP DL360p Gen8 mit E5-2690 und 4.8TB HD,"2x Intel 8-Core E5-2690, 96GB RAM, 4.8TB 10k HDD",pc
45,2578979373694743498,Power passiv gekühlter ITX Minirechner,Quad Core - 16GB Ram - 512GB SSD - 6 x Gbit LAN,pc
46,2572913010879690934,HP Pavilion P6000 Series,Schnellster Intel  I5 dieser Generation,pc
47,3755438853434146645,PC DELL T1700 Intel i5 16GB RAM 1T HD,Core i5 PC,pc
48,9211304334945048869,HP Envy 27,All-in-One Computer,pc
49,7814227934348937170,Watercooled Gaming PC,i7 8700K + Evga 1080 TI Kingpin + 32 GB G.Skill RGB,pc
50,-612575808785279065,16 GB 2X 8GB Kingston DDR4 RAM memory,KVR21N15D8/8 8 GB 2 x 8 GB DDR4 RAM 2133 MHz CL 15-15-15,pc
51,6113069030860686908,Ordinateur portable Lenovo IdeaPad S130,"Ecran 14""",pc
52,-6820005016737634924,Gaming PC mit i7-4770 und GTX 1660 OC,Leistungsstarker Gaming PC,pc
53,-2803526894636703455,Cisco-linksys E2000  Wireless-N Router,Gigabit Port x4 10/100/1000,pc
54,-9147770829654015163,PC Wasserkühlung Corsair H55 inkl Lüfter,inkl 2 Corsair Lüfter,pc
55,8276336466922014624,MaxData PC mit DVD-RW+Floppy 3 1/2 Zoll,80 GB Harddisk,pc
56,-3533212481158869366,HP Compac8100 Elite SFF,"für KMU, Schulen....",pc
57,1401799905890972287,"HP Elitebook 840 G3, FHD IPS Prem. Panel","16 GB DDR3, 256 GB NVMe PCIe 3.0 x4",pc
58,8158241955340391965,NZXT Grid+ V2,Digital Fan Controller NZXT Grid+ V2,pc
59,-7043366858820295910,"iMac 27"" i7 3.5GHz 32GB Ram",Neuwertig,pc
60,-4206435814185480915,Günstiger Gamer-PC -i7- gtx 650 - 128SSD,Verkaufe wegen Aufrüstung meinen ehemaligen Gamer-PC!,pc
61,-159502864351685754,Cooler Master Cosmos 2 Gehäuse,Nur das Gehäuse inkl. ASUS R.O.G. Front Base,pc
62,-8075550170599077352,APPLE USB SuperDrive,Externes optisches Laufwerk,pc
63,8031572361633499905,MacPro  6.1 | 12-Core 2.7GHz | 64GB|2TB,Neuwertig |12 Monate Garantie |Sehr Leistungsstark |Top,pc
64,-604972902202437436,18x Apple iMac 21.5 Zoll,"iMac Bundle, 2010 & 2011, diverse Ausstattungen",pc
65,4034318838634408027,"iMac 20"" 2007","iMac 20"" 2007",pc
66,6637950703929936488,Intel Core2 Quad Q6600 (4x2.40Ghz),Intel Core2 Quad Q6600 (4x2.40Ghz),pc
67,-6148120367133318595,Mac Mini Server in OVP mit allem Zubehör,"Spät 2009, 2 x 2 GB RAM, 1 TB HDD, 2.53 GHz Intel Core 2 Duo",pc
68,-8589665551091472336,PC Dell optiflex 390 i5-2500 + SSD + HDD,optiflex 390 i5-2500 + SSD 240 GB + HDD 500 GB,pc
69,3734169633196217803,"Diskettenlaufwerk, Lecteur de disquettes","USB, 3 1/4""",pc
70,-5782183914602292037,HP Z420 16GB 500GB SSD Win10Pro GTX550Ti,Top-Workstation: XEON-CPU + 16GB RAM + 500GB SSD + GTX550Ti,pc
